Subject,Trial,LeftPattern,RightPattern,Response,RT
0003,1,rotate_const_lin-0.8-0.64,rotate_const_lin-0.8-0,1,1.5862
0003,1,rotate_const_lin-0.8-0.64,rotate_const_lin-0.8-0,NA,NA
0003,2,rotate_const_lin-0.8-0,rotate_const_lin-0.8-0.48,NA,NA
0003,3,rotate_const_lin-0.8-0,rotate_const_lin-0.8-0.64,NA,NA
0003,4,rotate_const_lin-0.8-0.48,rotate_const_lin-0.8-0,NA,NA
0003,5,rotate_const_lin-0.8-0,rotate_const_lin-0.8-0.72,NA,NA
0003,6,rotate_const_lin-0.8-0.72,rotate_const_lin-0.8-0,NA,NA
0003,7,rotate_const_lin-0.8-0.72,rotate_const_lin-0.8-0,NA,NA
0003,8,rotate_const_lin-0.8-0.48,rotate_const_lin-0.8-0,NA,NA
0003,9,rotate_const_lin-0.8-0,rotate_const_lin-0.8-0.48,NA,NA
0003,10,rotate_const_lin-0.8-0,rotate_const_lin-0.8-0.64,NA,NA
0003,11,rotate_const_lin-0.8-0.64,rotate_const_lin-0.8-0,NA,NA
0003,12,rotate_const_lin-0.8-0,rotate_const_lin-0.8-0.72,NA,NA
0003,13,rotate_const_lin-0.8-0.48,rotate_const_lin-0.8-0,NA,NA
0003,14,rotate_const_lin-0.8-0,rotate_const_lin-0.8-0.64,NA,NA
0003,15,rotate_const_lin-0.8-0.64,rotate_const_lin-0.8-0,NA,NA
0003,16,rotate_const_lin-0.8-0,rotate_const_lin-0.8-0.72,NA,NA
0003,17,rotate_const_lin-0.8-0.72,rotate_const_lin-0.8-0,NA,NA
0003,18,rotate_const_lin-0.8-0,rotate_const_lin-0.8-0.48,NA,NA
0003,19,rotate_const_lin-0.8-0.72,rotate_const_lin-0.8-0,1,3.7211
0003,19,rotate_const_lin-0.8-0.72,rotate_const_lin-0.8-0,NA,NA
0003,20,rotate_const_lin-0.8-0,rotate_const_lin-0.8-0.48,3,0.4082
0003,20,rotate_const_lin-0.8-0,rotate_const_lin-0.8-0.48,NA,NA
0003,21,rotate_const_lin-0.8-0.48,rotate_const_lin-0.8-0,1,0.3479
0003,21,rotate_const_lin-0.8-0.48,rotate_const_lin-0.8-0,NA,NA
0003,22,rotate_const_lin-0.8-0.64,rotate_const_lin-0.8-0,3,0.2485
0003,22,rotate_const_lin-0.8-0.64,rotate_const_lin-0.8-0,NA,NA
0003,23,rotate_const_lin-0.8-0,rotate_const_lin-0.8-0.64,1,0.2450
0003,23,rotate_const_lin-0.8-0,rotate_const_lin-0.8-0.64,NA,NA
0003,24,rotate_const_lin-0.8-0,rotate_const_lin-0.8-0.72,3,0.1729
0003,24,rotate_const_lin-0.8-0,rotate_const_lin-0.8-0.72,NA,NA
0003,25,rotate_const_lin-0.8-0.48,rotate_const_lin-0.8-0,1,0.2111
0003,25,rotate_const_lin-0.8-0.48,rotate_const_lin-0.8-0,NA,NA
0003,26,rotate_const_lin-0.8-0,rotate_const_lin-0.8-0.64,3,0.0534
0003,26,rotate_const_lin-0.8-0,rotate_const_lin-0.8-0.64,NA,NA
0003,27,rotate_const_lin-0.8-0.72,rotate_const_lin-0.8-0,1,0.1027
0003,27,rotate_const_lin-0.8-0.72,rotate_const_lin-0.8-0,NA,NA
0003,28,rotate_const_lin-0.8-0.64,rotate_const_lin-0.8-0,3,0.0245
0003,28,rotate_const_lin-0.8-0.64,rotate_const_lin-0.8-0,NA,NA
0003,29,rotate_const_lin-0.8-0,rotate_const_lin-0.8-0.72,1,0.6332
0003,29,rotate_const_lin-0.8-0,rotate_const_lin-0.8-0.72,NA,NA
0003,30,rotate_const_lin-0.8-0,rotate_const_lin-0.8-0.48,3,0.1379
0003,30,rotate_const_lin-0.8-0,rotate_const_lin-0.8-0.48,NA,NA
